brand,title,salesPrice in Euro,collection,standard_price in Euro,Tag,Start Standard Price,End Standard Price,Start Sales Price,End Sales Price,Standard Price(€),Sales Price(€),Discount (%),info,Product Type
TED BAKER,Paplet Long Sleeve Oxford Shirt, 50.00,Men's clothing, 99.00,EXTRA 10% OFF AT CHECKOUT,99.0,0.0,50.0,0.0,99.0,50.0,49.49,Paplet Long Sleeve Oxford,Shirt
TED BAKER,Vadell Striped T-Shirt, 35.00,Men's clothing, 70.00,EXTRA 10% OFF AT CHECKOUT,70.0,0.0,35.0,0.0,70.0,35.0,50.0,Vadell Striped,T-Shirt
THE KOOPLES,Single-Breasted Wool Suit Jacket, 222.50,Men's clothing, 445.00,EXTRA 10% OFF AT CHECKOUT,445.0,0.0,222.5,0.0,445.0,222.5,50.0,Single-Breasted Wool Suit,Jacket
TED BAKER,Long-Sleeve Circle Weave Shirt, 47.00,Men's clothing, 95.00,EXTRA 10% OFF AT CHECKOUT,95.0,0.0,47.0,0.0,95.0,47.0,50.53,Long-Sleeve Circle Weave,Shirt
REISS,Harry Checked Twin Pocket Overshirt, 57.00,Men's clothing, 170.00,EXTRA 10% OFF AT CHECKOUT,170.0,0.0,57.0,0.0,170.0,57.0,66.47,Harry Checked Twin Pocket,Overshirt
THE KOOPLES,Love Kooples Logo Hoodie, 97.50,Men's clothing, 195.00,EXTRA 10% OFF AT CHECKOUT,195.0,0.0,97.5,0.0,195.0,97.5,50.0,Love Kooples Logo,Hoodie
REISS,Plaza Hybrid Funnel Neck Sweater, 77.00,Men's clothing, 195.00,EXTRA 10% OFF AT CHECKOUT,195.0,0.0,77.0,0.0,195.0,77.0,60.51,Plaza Hybrid Funnel Neck,Sweater
TED BAKER,Chapar Branded Print Polo Shirt, 51.00,Men's clothing, 85.00,EXTRA 10% OFF AT CHECKOUT,85.0,0.0,51.0,0.0,85.0,51.0,40.0,Chapar Branded Print Polo,Shirt
TED BAKER,Vennel Floral Print T-Shirt, 41.00,Men's clothing, 59.00,EXTRA 10% OFF AT CHECKOUT,59.0,0.0,41.0,0.0,59.0,41.0,30.51,Vennel Floral Print,T-Shirt
REISS,Miami Twin Pocket Overshirt, 101.00,Men's clothing, 185.00,EXTRA 10% OFF AT CHECKOUT,185.0,0.0,101.0,0.0,185.0,101.0,45.41,Miami Twin Pocket,Overshirt
REISS,Babbington Check Trousers, 92.00,Men's clothing, 195.00,EXTRA 10% OFF AT CHECKOUT,195.0,0.0,92.0,0.0,195.0,92.0,52.82,Babbington Check,Trousers
REISS,Primo Colour Block Polo Shirt, 78.00,Men's clothing, 140.00,EXTRA 10% OFF AT CHECKOUT,140.0,0.0,78.0,0.0,140.0,78.0,44.29,Primo Colour Block Polo,Shirt
